Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Tom Clancy's Jack Ryan,2018,18+,8.1,84,"Action & Adventure,Drama","When CIA analyst Jack Ryan stumbles upon a suspicious series of bank transfers his search for answers pulls him from the safety of his desk job and catapults him into a deadly game of cat and mouse throughout Europe and the Middle East, with a rising terrorist figurehead preparing for a massive attack against the US and her allies.Tom Clancy's Jack Ryan featuring John Krasinski and Wendell Pierce has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 16 episodes over 2 seasons. Tom Clancy's Jack Ryan is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (83,760 votes) and was well received by critics.",2Seasons,Prime Video
Upload,2020,18+,8,84,"Comedy,Mystery","In 2033, people who are near death can be ?uploaded? into virtual reality hotels run by 6 tech firms. Cash-strapped Nora lives in Brooklyn and works customer service for the luxurious ?Lakeview? digital afterlife. When L.A. party-boy/coder Nathan?s self-driving car crashes, his high-maintenance girlfriend uploads him permanently into Nora?s VR world.Upload featuring Robbie Amell and Andy Allo has one or more episodes streaming with subscription on Prime Video. It's a comedy and fantasy show with 10 episodes over 1 season. Upload is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (31,246 votes) and was well received by critics.",1 Season,Prime Video
The Night Manager,2016,16+,8.1,83,"Crime,Drama","Former British soldier Jonathan Pine navigates the shadowy recesses of Whitehall and Washington where an unholy alliance operates between the intelligence community and the secret arms trade. To infiltrate the inner circle of lethal arms dealer Richard Onslow Roper, Pine must himself become a criminal.The Night Manager featuring Tom Hiddleston and Hugh Laurie has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and crime show with 6 episodes over 1 season. The Night Manager is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (67,680 votes) and was very well received by critics.",1Season,Prime Video
Grimm,2011,16+,7.8,83,"Action & Adventure,Crime","After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.Grimm featuring David Giuntoli and Silas Weir Mitchell has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and crime show with 123 episodes over 6 seasons. Grimm is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (107,421 votes) and was very well received by critics.",6Seasons,Prime Video
Farscape,1999,16+,8.3,82,"Science-Fiction,Action & Adventure","A freak accident during an experimental space mission catapults Astronaut John Crichton across a thousand galaxies to an alien battlefield.Farscape featuring Ben Browder and Claudia Black has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 90 episodes over 5 seasons. Farscape is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (32,745 votes) and was very well received by critics.",5Seasons,Prime Video
Counterpart,2017,18+,8.1,82,"Drama,Science-Fiction","Howard Silk is a lowly cog in a bureaucratic UN agency who is turning the last corner of a life filled with regret when he discovers the agency he works for is guarding a secret: a crossing to a parallel dimension.Counterpart featuring J.K. Simmons and Nazanin Boniadi has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a Drama and Science Fiction show with 20 episodes over 2 seasons. Counterpart is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (20,562 votes) and was very well received by critics.",2 Seasons,Prime Video
The Grand Tour,2016,16+,8.7,82,"Comedy,Travel","Jeremy Clarkson, Richard Hammond and James May are back with a show about adventure, excitement and friendship... as long as you accept that the people you call friends are also the ones you find extremely annoying. Sometimes it's even a show about cars. Follow them on their global adventure.The Grand Tour featuring Jeremy Clarkson and Richard Hammond has one or more episodes streaming with subscription on Prime Video. It's a comedy and documentary show with 39 episodes over 4 seasons. The Grand Tour is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (61,152 votes) and was well received by critics.",4Seasons,Prime Video
Endeavour,2013,16+,8.6,82,"Drama,Crime","The early days of a young Endeavour Morse, whose experiences as a detective constable with the Oxford City Police will ultimately shape his future.Endeavour featuring Shaun Evans and Roger Allam has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 29 episodes over 7 seasons. Endeavour is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (17,460 votes) and was well received by critics.",7Seasons,Prime Video
Sneaky Pete,2015,18+,8.1,81,"Drama,Crime","A con man on the run from a vicious gangster takes cover from his past by assuming the identity of his prison cellmate, Pete, ?reuniting? with Pete?s estranged family, a colorful, dysfunctional group that threatens to drag him into a world just as dangerous as the one he?s trying to escape - and, just maybe, give him a taste of the loving family he?s never had.Sneaky Pete featuring Giovanni Ribisi and Marin Ireland has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a crime and drama show with 30 episodes over 3 seasons. Sneaky Pete is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (28,545 votes) and was very well received by critics.",3Seasons,Prime Video
Hanna,2019,18+,7.5,81,"Thriller,Action & Adventure","This thriller and coming-of-age drama follows the journey of an extraordinary young girl as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is. Based on the 2011 Joe Wright film.Hanna featuring Esme Creed-Miles and Mireille Enos has one or more episodes streaming with subscription on Prime Video, and available for purchase on VUDU. It's an action & adventure and crime show with 16 episodes over 2 seasons. Hanna is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (23,586 votes) and was well received by critics.",2Seasons,Prime Video
