Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Curiosity,2011,16+,7.8,51,"Documentary,2011","Curiosity is an American documentary television series that premiered on August 7, 2011, on the Discovery Channel. Each episode focuses on one question in science, technology, and society and features a different celebrity host. Stephen Hawking hosted the premiere episode titled ""Did God Create the Universe?"", which aired simultaneously on seven Discovery Communications networks: Discovery Channel, TLC, Discovery Fit and Health, Animal Planet, Science, Investigation Discovery, and Planet Green. Season one consists of 16 episodes.Curiosity featuring Morgan Freeman and Josh Charles has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with Discovery GO, available for purchase on iTunes, and 4 others. It's a documentary show with 43 episodes over 3 seasons. Curiosity is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (670 votes).",3Seasons,Prime Video
David the Gnome,1985,all,7.4,51,"Animation,Children","The World of David the Gnome, originally titled David el Gnomo, is a Spanish animated television series based on the children's book The Secret Book of Gnomes, by the Dutch author Wil Huygen and illustrator Rien Poortvliet. The program was originally created in Spain by BRB Internacional titled David el Gnomo, and retains a sense of the lush illustrations of the original books. Twenty-six episodes were produced. There was also a spin-off series entitled Wisdom of the Gnomes. The English language dub The World of David the Gnome was produced by Canadian studio Cinar, in association with Miramax Films. Christopher Plummer narrated, with the voice of David the Gnome being provided by Tom Bosley.David the Gnome came to US television in 1987, airing weekdays on the Nickelodeon cable channel, and was part of the fledgling Nick Jr. lineup when that was created shortly thereafter until 1995. It also aired on TLC on its Ready Set Learn block from September 30, 1996 until March 27, 1998. The series is still frequently airing weekday mornings on Irish channel RTê Two as of 2006. In Australia, it has aired on ABC, as well as the Australian branch of Nickelodeon, again as part of the Nick Jr. lineup.David the Gnome featuring Jose Maria Cordero and Matilde Conesa has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and animation show with 26 episodes over 2 seasons. David the Gnome is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (2,140 votes).",2 Seasons,Prime Video
LOL: Australia,2020,N/A,6.3,51,"Comedy,2020","Hosted by Rebel Wilson, 10 of Australia?s finest comedians battle it out to see who can keep a straight face while simultaneously trying to make their opponents laugh. Comedians who laugh will be eliminated one-by-one, until a single comedian remains. With $100,000 on the line, who will Rebel crown the Last One Laughing?LOL: Australia featuring Rebel Wilson and Anne Edmonds has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 6 episodes over 1 season. LOL: Australia is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.3 (631 votes) and was well received by critics.",1Season,Prime Video
Everest: Beyond the Limit,2006,7+,8.4,50,"Documentary,Action & Adventure","Everest: Beyond the Limit is a Discovery Channel reality television series about yearly attempts to summit Mount Everest organized and led by New Zealander Russell Brice.Everest: Beyond the Limit featuring Mark Inglis and Fred Ziel has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with Discovery GO, available for purchase on iTunes, and 4 others. It's an action & adventure and documentary show with 20 episodes over 3 seasons. Everest: Beyond the Limit is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (787 votes).",3Seasons,Prime Video
Blade of the Immortal,2008,16+,6.7,50,"Action & Adventure,Anime","Manji is a crass, violent samurai with a special ability: he cannot die. Cursed with immortality by the nun Yobikuni as punishment for his ruthless deeds, he has grown weary of his ageless life. The only way to lift the curse is to slay 1,000 evil men. So Manji wanders Japan, shedding the blood of the wicked on his quest to finally die.Blade of the Immortal featuring Rina Satou and Tomokazu Seki has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 24 episodes over 1 season. Blade of the Immortal is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (508 votes).",1Season,Prime Video
Thunderbirds Are Go!,2015,all,6.7,50,"Animation,Action & Adventure","Remake of the hit 1960s television show. In the 21st century, Jeff Tracy, a former astronaut, amasses a colossal fortune and decides that he must use it to benefit others. His answer to this desire is to create International Rescue, a unique private emergency response service equipped with customized designed vehicles and equipment that enable the organization to react to any crisis whether it be in sea, air, land, or space. Jeff's five sons volunteer to operate as the pilots and field agents, as well ""Brain"" who acts as the teams engineer. In addition, Jeff's friend, Kyrano and his daughter Tanusha aka Kayo (based on the original series Tin-Tin character) agree to be the support staff. In addition to the field team, IR also maintains an intelligence network with Lady Penelope and her ex-con chauffeur, Parker as the chief agents in this arm.Thunderbirds Are Go! featuring Adjoa Andoh and Angel Coulby has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 79 episodes over 4 seasons. Thunderbirds Are Go! is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.7 (1,422 votes).",4Seasons,Prime Video
Happy Sugar Life,2018,N/A,6.3,50,"Animation,Anime","Satou Matsuzaka, a girl who has never loved anyone before, falls in love with a girl named Shio Koube. The two girls are drawn to each other, and begin a happy life together. Satou won't let anyone endanger their new life, and would do anything for love, even if it means threatening, confining, or killing someone.Happy Sugar Life has one or more episodes streaming with subscription on Prime Video. It's an animation and anime show with 12 episodes over 1 season. Happy Sugar Life is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.3 (257 votes).",1Season,Prime Video
Hitorijime My Hero,2017,N/A,7,50,"2017,Prime Video",Hitorijime My Hero has one or more episodes streaming with subscription on Prime Video. It has 12 episodes over 1 season. Hitorijime My Hero is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.0 (432 votes).,1Season,Prime Video
Secret Smile,2005,N/A,6.9,50,"Crime,Drama","Two part drama serial based on the eponymous novel by Nicci French. Stars David Tennant, Claire Goose and Kate Ashfield.Secret Smile has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 3 episodes over 1 season. Secret Smile is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (1,510 votes).",1Season,Prime Video
Valemont,2009,7+,5.3,50,"Fantasy,Horror","Valemont is a supernatural American television miniseries on MTV that premiered on September 21, 2009. Two episodes premiered on Tuesdays during The Hills and The City. For six consecutive weeks, two and a half minute episodes of Valemont premiered in the commercial pods directly preceding The Hills and following The City. The concluding 23 episodes of the series were made available online at MTV.com and on V Cast Video from Verizon Wireless, along with other bonus footage.Valemont featuring Eric Balfour and Kristen Hager has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a drama and fantasy show with 35 episodes over 1 season. Valemont is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.3 (372 votes).",1Season,Prime Video
Grimoire of Zero,2017,16+,7,50,"Animation,Anime","Year 526 of the Liturgical Calendar.The world knew that witches existed, and that they practiced the notorious art of sorcery.Nevertheless, the world did not know anything about the study of magic.Our story follows a half-man, half-beast mercenary; humans mockingly call his kind the ?fallen beasts?.He always dreamt of becoming a human, but one day, he met a witch who would change his life forever.?Do you desire a human form? Then be my escort, mercenary!?The witch introduced herself as ?Zero?, and explained that she was searching for a one-of-a-kind magical tome that bandits had stolen from her lair. Entitled ?The Book of Zero?, the grimoire supposedly contained valuable magical knowledge that could be used to effortlessly bring the world to its knees.Thus, in order to realize his dream of becoming a human, the mercenary must accompany Zero on her journey?despite her being one of the witches he so loathed.This is the story of a haughty sorceress and a kindhearted beast.Grimoire of Zero featuring Yumiri Hanamori and Tsuyoshi Koyama has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 12 episodes over 1 season. Grimoire of Zero is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (423 votes).",1Season,Prime Video
This Giant Beast That is the Global Economy,2019,16+,7.7,50,"Documentary,2019","Through the curious mind of host Kal Pen, see firsthand all the surprising ways the economy interconnects and impacts the lives of people all over the planet.This Giant Beast That is the Global Economy featuring Kalle PenttilÑ has one or more episodes streaming with subscription on Prime Video. It's a documentary show with 8 episodes over 1 season. This Giant Beast That is the Global Economy is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (543 votes) and was met with mixed reviews by critics.",1Season,Prime Video
The Jury,2002,N/A,7.7,50,"Drama,Crime",The Jury is a British television serial broadcast in 2002. The series was the first ever to be allowed to film inside the historic Old Bailey courthouse.The Jury featuring Helen McCrory and Paul Reynolds has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 11 episodes over 2 seasons. The Jury is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (943 votes).,2Seasons,Prime Video
Just Add Magic: Mystery City,2020,all,7.3,50,"Comedy,Family","In a spinoff of the successful series Just Add Magic, we follow the magic cookbook to Bay City as it moves to three new protectors: step-siblings Zoe and Leo, and their downstairs neighbor Ish. Each of the three brings a unique skill to the table, as the cookbook unlocks a centuries-old mystery that takes them on an historical adventure through the city streets in a race to find a secret recipe.Just Add Magic: Mystery City has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 10 episodes over 1 season. Just Add Magic: Mystery City is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (219 votes).",1Season,Prime Video
Sigmund and the Sea Monsters,1973,all,7,49,"Comedy,Family","Sigmund and the Sea Monsters was an American children's television series that ran from 1973 to 1975, produced by Sid and Marty Krofft and aired on Saturday mornings. There were 29 episodes spanning two seasons.Sigmund and the Sea Monsters featuring Mary Wickes and Rip Taylor has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a comedy and family show with 29 episodes over 2 seasons. Sigmund and the Sea Monsters is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (714 votes).",2Seasons,Prime Video
Welcome to the Ballroom,2017,16+,7.8,49,"Animation,Anime","Tatara is an average middle school student with no particular dreams until an unexpected incident draws him into the fascinating world of ballroom dancing. ?If I can just find one thing to be passionate about...? He dives into the world of dance, believing it's his opportunity to change. ?Dance is a passion!?Welcome to the Ballroom featuring Kentarou Tomita and Toshiyuki Morikawa has one or more episodes streaming with subscription on Prime Video. It's an animation and anime show with 24 episodes over 1 season. Welcome to the Ballroom is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (384 votes).",1Season,Prime Video
Love and Lies,2017,16+,5.9,49,"Animation,Anime","Lies are forbidden and love is doubly forbidden. In the near future, when young people in Japan turn sixteen, they are assigned a marriage partner by the government. People don't have to go through the trouble of looking for someone, and everyone accepts that the country will find a compatible partner to make them happy. Yukari Nejima is fifteen years old. He lives in a small corner of the country, and just can't seem to get ahead in life. Both academically and athletically he's below average. But within him, he hides a heart burning with passion! In this world in which love is forbidden, what will happen to him when he falls in love?http://koiuso-anime.com/Love and Lies featuring Ryota Ohsaka and Kana Hanazawa has one or more episodes streaming with subscription on Prime Video. It's an animation and anime show with 12 episodes over 1 season. Love and Lies is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.9 (371 votes).",1Season,Prime Video
Free to Choose,1980,N/A,9,49,"Documentary,1980","Free to Choose is a ten-part television series broadcast on public television by economists Milton and Rose D. Friedman that advocates free market principles. It was primarily a response to an earlier landmark book and television series: The Age of Uncertainty, by the noted economist John Kenneth Galbraith. Milton Friedman won the Nobel Memorial Prize in Economics in 1976.Free to Choose has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a documentary show with 15 episodes over 2 seasons. Free to Choose is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 9.0 (223 votes).",2Seasons,Prime Video
Lillie,1978,N/A,8.1,49,"Drama,Action & Adventure","The Rise and Fall of a Professional Beauty. It was the affair that shook Victorian society to its core. He was the Prince of Wales, the future monarch; she was a professional beauty, who became a royal bedmate. Follow the fascinating life of the Dean of Jersey's daughter from her modest childhood to her emergence as one of the most celebrated beauties of her time. Lillie's liaison with the heir to the throne marked only the beginning of a remarkable, scandalous and daring series of adventures in open defiance of accepted morality imposed by Victorian and Edwardian society.Lillie featuring Francesca Annis and Peggy Ann Wood has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and biography show with 13 episodes over 1 season. Lillie is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (494 votes).",1 Season,Prime Video
Nova ScienceNow,2005,all,8.5,49,"Documentary,2005","Nova ScienceNow is a News magazine version of the long-running and venerable PBS science program Nova. Premiering on January 25, 2005, the series was originally hosted by Robert Krulwich, who described it as an experiment in coverage of ""breaking science, science that's right out of the lab, science that sometimes bumps up against politics, art, culture"". At the beginning of season two, Neil deGrasse Tyson replaced Krulwich as the show's host. Tyson announced he would leave the show and was replaced by David Pogue beginning season 6.Nova ScienceNow featuring Ziya Tong and Peter Standring has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, and available for purchase on Prime Video. It's a documentary show with 43 episodes over 6 seasons. Nova ScienceNow is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (495 votes).",6Seasons,Prime Video
Empire of the Tsars: Romanov Russia with Lucy Worsley,2016,7+,7.6,49,"Documentary,History","Lucy Worsley travels to Russia to tell the extraordinary story of the dynasty that ruled the country for more than three centuries - the Romanovs.Empire of the Tsars: Romanov Russia with Lucy Worsley featuring Lucy Worsley has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Curiosity Stream (Via Prime Video), and available for purchase on Prime Video. It's a documentary and history show with 3 episodes over 1 season. Empire of the Tsars: Romanov Russia with Lucy Worsley is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (777 votes).",1Season,Prime Video
Supermarket Sweep,1990,all,7.4,49,"Family,Game Show","An American television game show combining an ordinary team-based quiz show with the novel concept of a live, timed race through a supermarket.Supermarket Sweep has one or more episodes streaming with subscription on Prime Video. It's a family and game show show with 103 episodes over 8 seasons. Supermarket Sweep is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (679 votes).",8Seasons,Prime Video
Budding Prospects,2017,18+,7.3,49,"Comedy,2017","In 1983, three hapless guys from San Francisco are lured from their sex and drugs lifestyle to the countryside to grow marijuana. They find themselves stuck in a run-down cabin in the middle of nowhere, with harsh and unfriendly growing conditions, nosy neighbours, dangerous locals, and menacing law enforcement.Budding Prospects has one or more episodes streaming with subscription on Prime Video. It's a comedy show with 1 episodes over 1 season. Budding Prospects is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 and was well received by critics.",1Season,Prime Video
Fetch! with Ruff Ruffman,2006,all,7.5,49,"Children,Game Show","Fetch! with Ruff Ruffman, sometimes shortened as Fetch!, is a children's television series for children ages 6?12 on PBS during the PBS Kids Go! block of educational programming. It is a game show/reality show that is hosted by an animated anthropomorphic dog named Ruff Ruffman who dispenses challenges to the show's real-life contestants. The series ran for five seasons and 100 episodes from May 29, 2006 to November 4, 2010 on PBS, with 30 contestants in that time. In June 2010, WGBH announced that the series would end due to lack of funding. In June 2008, the series received its first Emmy for Best Original Song for its theme.Fetch! with Ruff Ruffman featuring Jim Conroy has one or more episodes streaming with subscription on Prime Video, streaming with subscription on PBS KIDS (Via Prime Video), available for purchase on iTunes, and 3 others. It's an animation and children show with 100 episodes over 5 seasons. Fetch! with Ruff Ruffman is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (654 votes).",5Seasons,Prime Video
Yancy Derringer,1958,N/A,7.8,49,"Comedy,Action & Adventure","Yancy Derringer is an American Western seriesYancy Derringer featuring X Brands and Kevin Hagen has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and comedy show with 34 episodes over 1 season. Yancy Derringer is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (1,190 votes).",1Season,Prime Video
The Straits,2012,N/A,7.4,49,"Drama,Crime","Set among the turquoise waters and lethal wildlife of Australia?s Far  North Queensland and the Torres Strait, The Straits is an exotic, darkly  humorous crime drama.The Montebellos are not your average Australian family. Modern day  smugglers, their family business is transporting drugs into Australia  and guns and exotic wildlife out, making use of ties of blood and  loyalty in the Torres Strait Islands.The Straits featuring Brian Cox and Rena Owen has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a crime and drama show with 10 episodes over 1 season. The Straits is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (439 votes).",1Season,Prime Video
The Adventures of Maya the Honey Bee,1975,all,6.7,49,"Animation,Family","Maya the Bee is an anime television series produced by Zuiyo Enterprise in Japan. The series consisted of 52 episodes and was originally telecast across Japan from April 1975 to April 1976 on the TV Asahi network. Based on the classic children's book Maya the Bee by Waldemar Bonsels, the anime series has become extremely popular in Europe and has been rebroadcast in countries and languages all around the world since its premiere. Two English-dubbed versions of the series exist, a British version, using a translated version of the original theme tune, and featuring British accents for the characters; and a United States version with an entirely new theme tune, produced by Saban Entertainment, which was broadcast from January 1, 1990 to December 31, 1992 on the children's television channel Nickelodeon. Maya the Bee aired alongside other juvenile-targeted anime such as Adventures of the Little Koala, Noozles and The Littl' Bits as part of Nickelodeon's Nick Jr. block of programming for young children.A second Maya the Bee series, Shin Mitsubachi M?ya no B?ken, was a co-production made in 1979 by Wako Productions and Austrian/German Apollo Film, Wien. The second series first premiered in Germany from September 1979 to September 1980. The very different and cartoon-like second series, which lasted for 52 episodes, wasn't very popular and did not premiere in Japan until October 1982, on TV Osaka, and aired through September 1983. Ten episodes from this series were added to 45 from the original for the U.S. broadcast run, bringing the total of Maya episodes aired on Nickelodeon in the U.S. to 55.The Adventures of Maya the Honey Bee featuring Lorley Katz and Scarlet Cavadenti has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and animation show with 104 episodes over 2 seasons. The Adventures of Maya the Honey Bee is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (3,557 votes).",2Seasons,Prime Video
GetBackers,2002,16+,7.4,49,"Action & Adventure,Anime","They're the Get Backers, and they live by a simple motto: If it was taken, we'll get it back. Their success rate is 100%. They may have no luck with money, but they always come through on a job, no matter how small. Ban and Ginji are no ordinary retrieval service though. With Ginji's ability to generate lightning and Ban's Jagan Eye and 200kg force grip, they'll take on any job, from retrieving stuffed toys to fine art to lost memories. If the GetBackers say they'll get it back, they will!GetBackers featuring Showtaro Morikubo and Nobutoshi Canna has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and animation show with 49 episodes over 2 seasons. GetBackers is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (940 votes).",2Seasons,Prime Video
Timmy Time,2009,all,7,49,"Animation,Children","Timmy Time is a British animated pre-school children's comedy series created by the BBC and Aardman Animations. It started broadcasting in the UK on CBeebies on 6 April 2009. The show is a spin off from the Shaun the Sheep animation which itself is a spin off from the Aardman series Wallace & Gromit, which introduced the character of Shaun. The first two series ran for 26 episodes. In the United Kingdom, the show's most recent run began in September 2011 on CBeebies. In Australia, season one commenced in May 2009 on ABC1 and season three started in May 2011 on ABC 4 Kids.Timmy Time featuring Kate Harbour and Justin Fletcher has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's an animation and children show with 80 episodes over 3 seasons. Timmy Time is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (759 votes).",3Seasons,Prime Video
Shaktimaan,1997,N/A,8.1,49,"Science-Fiction,Children","Shaktimaan is a fictional Indian superhero from the television series of the same name produced by Mukesh Khanna and directed by Dinkar Jani. Shaktimaan is depicted as a human who has attained superhuman strength and power through deep meditation and attaining control over five elements of life.Around 400 episodes of the series originally aired on Doordarshan, India's national television network, from 27 September 1997 (barring the introductory episode on 27 September 1997) to 27 March 2005, on Sundays at 12 noon IST. The telecast slot, however was shifted to 9:30 a.m. for the last episodes.Shaktimaan has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a children and drama show with 80 episodes over 4 seasons. Shaktimaan is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (3,831 votes).",4Seasons,Prime Video
Pan y Circo,2020,N/A,6.4,48,"2020,Prime Video","Taking back the ritual of food as a space for conversation and different points of view, actor and filmmaker Diego Luna moderates conversations that unites experts and different personalities to touch on fundamental topics of universal interest in contemporary societies, accompanied by the menus of well-known Mexican chefs.Pan y Circo featuring Diego Luna has one or more episodes streaming with subscription on Prime Video. It has 8 episodes over 1 season. Pan y Circo has a new episode airing on September 17th, 2020 (PDT). It has an average IMDb audience rating of 6.4 (86 votes).",1Season,Prime Video
"Philip Marlowe, Private Eye",1983,N/A,7.9,48,"Action & Adventure,Crime","Philip Marlowe, Private Eye is a British mystery series that aired on ITV in the United Kingdom under the shorter title 'Marlowe, Private Eye' and on HBO in the United States from April 16, 1983 through June 3, 1986. The series features Powers Boothe as Raymond Chandler's titular character, and was the first drama produced for HBO.Philip Marlowe, Private Eye featuring Powers Boothe has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and crime show with 11 episodes over 2 seasons. Philip Marlowe, Private Eye is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (348 votes).",2Seasons,Prime Video
Hitoshi Matsumoto Presents Documental,2016,N/A,7.9,48,"Comedy,Documentary",Ten comedians are pitted against each other in a closed room with the objective to make each other laugh. The last person to stay in the room without laughing wins and is awarded a 10 million yen prize and bragging rights as the funniest comedian.Hitoshi Matsumoto Presents Documental featuring Hitoshi Matsumoto and Antony has one or more episodes streaming with subscription on Prime Video. It's a comedy and documentary show with 24 episodes over 5 seasons. Hitoshi Matsumoto Presents Documental is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (206 votes).,5Seasons,Prime Video
Brum,1991,7+,6.2,48,"Animation,Comedy","Brum is a British children's superhero rescue television series about the adventures of a radio controlled car of the same name. It was produced by Ragdoll Productions for HIT Entertainment and first broadcast in 1991. It was initially directed, written and produced by Anne Wood, latterly directed and written by Vic Finch, Paul Leather, Emma Lindley, Morgan Hall, Brian Simmons, Nigel P Harris and others. It was initially narrated by Toyah Willcox and later by Tom Wright. The show was first aired on Children's BBC on BBC One and also aired in the United States on Discovery Kids as part of the Ready Set Learn kids block on the channel that lasted from 1996 to 2010. The show has also aired on ABC, ABC1 and ABC2 in Australia.Brum featuring Toyah Willcox has one or more episodes streaming with subscription on Prime Video. It's an animation and children show with 99 episodes over 5 seasons. Brum is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.2 (1,371 votes).",5Seasons,Prime Video
Einstein,2017,N/A,6.4,48,"Action & Adventure,Crime","Felix Winterberg is the great-great-grandson of the famous Albert Einstein and himself a recognized physics genius. Because of a deadly hereditary disease, the brilliant researcher only has a few years left - which he wants to make as labor-intensive as possible thanks to various illegal stimulants.Einstein featuring Tom Beck and Rolf Kanies has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and crime show with 11 episodes over 1 season. Einstein is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (237 votes).",1Season,Prime Video
Ivanhoe,1997,7+,7.4,48,"Action & Adventure,Drama","The epic tale of the idealistic young knight Ivanhoe and his battle against the evil Templar Bois-Guilbert. Caught between the rivalries and religious struggles are Ivanhoe's betrothed Rowena and the brave, beautiful Jewess healer Rebecca, who wins Ivanhoe's heart with her courage. This grand six-part adaptation of Sir Walter Scott's rousing adventure of the Middle Ages is set against the historical backdrop of a Britain straining under the corrupt rule of Prince John while Richard the Lionhearted fights in the Crusades.Ivanhoe featuring Susan Lynch and Ciar†n Hinds has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and drama show with 6 episodes over 1 season. Ivanhoe is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (977 votes).",1Season,Prime Video
Fireman Sam,1987,all,6.2,48,"Family,Animation","Fireman Sam is a Welsh animated children's television series about a fireman called Sam, his fellow firefighters, and other townspeople in the fictional Welsh rural town of Pontypandy. The original idea for the show came from two ex-firemen from Kent. They took their idea to artist/writer Rob Lee who developed the concept for them. The finished concept was then presented to S4C who saw the potential in the series and commissioned it.Fireman Sam first appeared in Welsh on S4C in 1985 and later in English on BBC1 in 1987. The original series finished in 1994, but a new series which expanded the character cast commenced in 2008. The series was also shown in Gaelic in Scotland, where it was known as Sam Smalaidh. The series has been sold to over 40 countries, from Australia to Norway and is used across the United Kingdom to promote fire safety.In 1996, a stage production was turned into a feature, Fireman Sam In Action and released on BBC Video.Fireman Sam has recently been adapted into a Live musical theatre show, which began touring the UK in June 2011.Fireman Sam featuring Alex Lowe and David Carling has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, and available for purchase on Prime Video. It's an animation and children show with 191 episodes over 10 seasons. Fireman Sam is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.2 (1,355 votes).",10Seasons,Prime Video
Becoming Human,2011,16+,7.3,48,"Drama,Mystery","A 46-year-old vampire in a body of a teenager helps with a female werewolf and a ghost to solve a murder mystery.Becoming Human has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and drama show with 36 episodes over 5 seasons. Becoming Human is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (293 votes).",5Seasons,Prime Video
Lost in Oz,2015,7+,7.7,48,"Animation,Family","When 12-year-old Dorothy Gale discovers her mother's mysterious journal in her Kansas home, she and her dog, Toto, are transported into a bustling, modern Emerald City. Disoriented and determined to get home, Dorothy embarks on an epic journey with West, a young witch, and Ojo, a giant Munchkin, to seek the magic she needs - as Oz faces its greatest magic crisis. Based on L. Frank Baum's books.Lost in Oz featuring Landry Bender and Nika Futterman has one or more episodes streaming with subscription on Prime Video. It's an animation and family show with 52 episodes over 3 seasons. Lost in Oz is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (412 votes).",3 Seasons,Prime Video
Fighter of the Destiny,2017,N/A,7.5,48,"Fantasy,Drama","Chun Chang Sheng was abandoned in a flowing river and plucked up by a Taoist monk. He?s actually the fourth Prince of the Chen?s Royal bloodline. He?s plagued with an incurable illness, fated not to live past the age of 20. To find a cure, he leaves his temple, armed with a promise of marriage scroll, to become a student at a famous academy. He meets Xu You Rong and they slowly fall in love after hopping through the trials and tribulations of his journey .Fighter of the Destiny featuring Lu Han and Guli Nazha has one or more episodes streaming with subscription on Prime Video. It's a drama and fantasy show with 56 episodes over 1 season. Fighter of the Destiny is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (94 votes).",1Season,Prime Video
Babylon,2019,18+,6.5,48,"Animation,Anime","Seizaki Zen is a prosecutor with the Tokyo District Public Prosecutors' Office. While investigating illegal acts by a certain pharmaceutical company, Seizaki stumbles upon a page stained with a mixture of blood, hair and skin, along with the letter ""F"" scribbled all across the sheet. As he investigates further, the case goes beyond Zen's imagination and becomes vastly complex, challenging his sense of justice and his knowledge of the truth. Digging deeper into the investigation, Zen begins to uncover a concealed plot behind the ongoing mayoral election and ties to many people of interest involved in the election and those closer than he thinks. The case grows more severe and propels Zen into an unforeseen hurricane of corruption and deceit behind the election, the establishment of the Shiniki district, and the mysterious woman associated with it all.Babylon featuring Yuichi Nakamura and Satsuki Yukino has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 12 episodes over 1 season. Babylon is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (320 votes).",1Season,Prime Video
